seed,model,sampler_type,selector,int_time,logstep_jitter,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,acceptance_prob,step_size,n_rounds,energy_jump_dist
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.26552065738867553,0.002896980128059834,3.1100660560000004,0.10644531249999996,25324.0,5309.0,0.8081423178027827,0.6779996840282642,0.17146752524100328,10,0.15910656314200952
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.3204245090693371,0.002171087762834625,3.9803244100000006,0.08203124999999999,50724.0,10635.0,1.402704234306943,0.6963933215457409,0.11181913900375356,11,0.18926697761944322
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.3614627062322005,0.005264955911018463,5.554981702000001,0.09790039062499992,95692.0,19829.0,2.2449004895336766,0.6728638468513916,0.08670607141606505,12,0.19387608777471774
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.3736368303923904,0.002688693586915273,9.017409494,0.08813476562500004,197172.0,41103.0,3.356708627452697,0.6807258018653713,0.05762902181270964,13,0.19680790356727867
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.3909820592184961,0.0059926435107905615,16.020943644,0.0966796874999998,403424.0,84474.0,4.96472056992206,0.6757721204705132,0.04147658817631924,14,0.18529986703145487
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.3512286980531169,0.005120108571887718,33.158879221999996,0.0932312011718751,940976.0,202478.0,6.061409588324665,0.6650817074402743,0.012340823282505926,15,0.19714629025568128
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.28703012299038055,0.0026047613997823454,63.802632110999994,0.10791015625000058,1.876588e6,403613.0,6.888143765628298,0.7003747490588886,0.032838674941020794,16,0.13727634506705877
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.3344253459675439,0.004629829502996599,127.03839068299999,0.10989379882812539,3.817644e6,823341.0,11.38656740402702,0.6674236789979093,0.01989800095966511,17,0.177135265956489
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.5532529885728469,0.06679510917337061,239.408055223,0.10466003417968717,7.182784e6,1.533554e6,28.492129032680722,0.7074053916977303,0.041404178996936145,18,0.13247348339221846
1,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.7294765105643143,0.05282242127908219,444.12186183899996,0.09568786621093837,1.31733e7,2.769039e6,98.36879846602099,0.6760875251920869,0.02867761579495091,19,0.188153174307223
