seed,model,sampler_type,selector,int_time,logstep_jitter,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,acceptance_prob,step_size,n_rounds,energy_jump_dist
14,horseshoe_logit,SimpleAHMC,inverted,rand,adapt,0.7778055264586887,0.12863668294769692,2080.247650149,0.09145927429198424,6.0262999e7,1.5578995e7,118.651087806049,0.7169150760115834,0.019263294768102058,20,0.1543972592387383
5,horseshoe_logit,HMC10.0,inverted,single_step,adapt,0.8067158836551076,0.05285543464694038,255.715621108,0,6.291432e6,1.048572e6,127.47699817300757,0.026028018899384095,0.19094114895321035,18,0.0270781677629918
7,"banana(4,0.3)",HMC10.0,inverted,single_step,adapt,-0.23829727244402776,0.053533797145277014,6.863986648999999,0,3.145704e6,524284.0,262.64552308078595,1.0898191780966565e-5,0.8738166108027126,17,2.7093750857997134e-6
14,"banana(4,0.3)",MALA0.25,inverted,single_step,adapt,0.6513184789071411,0.2767192891589482,4.394939623,0,1.57284e6,262140.0,133.50106819132375,0.9744154708242658,0.027062293626838256,16,0.041621808257712695
10,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.9396718494577389,0.11516703125840015,1637.22635756,0.09618949890136436,4.85787e7,1.0047525e7,130.65619485731844,0.6886403619431585,0.022437394890256958,20,0.17417889584663196
19,"banana(4,0.3)",HMC10.0,inverted,single_step,adapt,-0.03417228601339314,0.01650141321502119,12.906106615999999,0,6.291432e6,1.048572e6,514.5431077732069,3.937399043171049e-6,0.8738166108027126,18,8.908736689422794e-6
23,"banana(4,0.3)",MALA10.0,inverted,single_step,adapt,-0.657877781197019,0.14538014533477608,86.140665026,0,5.0331624e7,8.388604e6,1448.9194409213135,6.384841247630175e-7,1.0824917450735303,21,4.977221367574786e-6
22,mRNA,SimpleRWMH,inverted,single_step,adapt,0.202918450223172,0.0003902559248904345,31.38645031,0.5724945068359386,1.2395037e7,3.899273e6,131.45698254172862,0.3673308643302636,0.0027937363912043872,16,0.1725640978304285
22,horseshoe_logit,SimpleAHMC,inverted,rand,adapt,0.855826162192962,0.10487110807449397,802.609718452,0.09564113616943559,2.3846288e7,4.912998e6,100.68338483314234,0.6829263948274831,0.02120421044225921,19,0.18092036757979887
3,"banana(4,0.3)",HMC,inverted,single_step,adapt,-0.6210187370324832,1.0939499812859632,4.495400011999999,0,1.57284e6,262140.0,134.77796184924296,0.5128111473480004,0.08738166108027126,16,0.19271047727916396
17,"banana(4,0.3)",MALA,inverted,single_step,adapt,0.6619192753316995,0.5987429263434806,4.210645383,0,1.57284e6,262140.0,133.62812508446353,0.4177092424897928,0.10824917450735302,16,0.1415154948012021
26,"banana(4,0.3)",SimpleAHMC,inverted,rand,adapt,0.05583014606951028,0.7015145654852725,5.402565825,0.08853149414062529,2.700272e6,543998.0,138.90123773764472,0.7077310804390006,0.05265660187206605,16,0.16896042759856597
15,mRNA,SimpleAHMC,inverted,single_step,adapt,-0.5000000000007876,1.7123763694733113e-25,1091.440643463,1.3364143371582125,4.2444292e7,1.0348931e7,101.80864925215201,0.3810230462387674,0.006340842058602886,17,3.218181277020444e-11
6,"banana(4,0.3)",HMC4.0,inverted,single_step,adapt,-0.8404761591165161,0.6462869193464823,4.460345336,0,1.57284e6,262140.0,133.4911039771801,0.39453949539093747,0.34952664432108504,16,0.12711762209498562
28,mRNA,SimpleRWMH,inverted,single_step,adapt,0.2813249111912085,0.028946910934184375,275.523082734,1.1787204742431707,7.9525996e7,4.1222438e7,125.97543864657597,0.45733810060897895,0.031149302759910034,18,0.12226518563190422
10,"banana(4,0.3)",SimpleAHMC,inverted,rand,adapt,-2.1300816685941992,0.06548241171897638,6.086488214000001,0.11743164062499958,3.226832e6,675638.0,132.82089169411475,0.6433169476936664,0.02605392577710617,16,0.19482330138306153
17,"banana(4,0.3)",SimpleAHMC,inverted,single_step,adapt,0.6600912380111478,0.6520363899473908,5.464375251,0.09075927734374936,2.722504e6,549556.0,135.29043490817745,0.6939952652789593,0.051857278517475264,16,0.17849305451690178
23,"banana(4,0.3)",MALA0.1,inverted,single_step,adapt,-0.29760573770617427,0.06279272968045914,4.156863413,0,1.57284e6,262140.0,136.41051319740296,0.9997495012174975,0.010824917450735303,16,0.0004999953601854691
3,horseshoe_logit,RWMH,inverted,single_step,adapt,0.8619918754525961,0.12740611801707866,308.831419263,0,1.677704e7,8.3886e6,113.82522864526979,0.4855978989401226,0.016202325761796962,20,0.2734894507028512
8,horseshoe_logit,MALA4.0,inverted,single_step,adapt,0.876079112519222,0.10367295563668129,1010.5711965410001,0,2.51658e7,4.1943e6,151.6429945645841,0.3252314846131539,0.04670320406326737,20,0.12508878937995468
10,"banana(4,0.3)",RWMH0.25,inverted,single_step,adapt,-0.08312334628264346,0.1985199012616984,1.3381157369999999,0,1.048432e6,524280.0,134.6839677849895,0.8986977507198128,0.019241772166950822,16,0.1554634372277093
27,horseshoe_logit,HMC10.0,inverted,single_step,adapt,0.9822033063119644,0.06234742992673914,1038.888812325,0,2.51658e7,4.1943e6,217.14413552781804,0.017367628266839186,0.19094114895321035,20,0.017977981274717284
28,"banana(4,0.3)",HMC,inverted,single_step,adapt,0.6055694252023365,1.0766595015610096,4.574541416000001,0,1.57284e6,262140.0,133.21035595268694,0.3633532858899476,0.08738166108027126,16,0.13567912443934743
13,horseshoe_logit,MALA,inverted,single_step,adapt,0.6876768527395435,0.06783544719068992,1003.976491827,0,2.51658e7,4.1943e6,134.0092542129545,0.7911247038081629,0.011675801015816842,20,0.0791513046585859
26,"banana(4,0.3)",HMC4.0,inverted,single_step,adapt,-0.0716875540791277,0.20836661983013516,4.099915869,0,1.57284e6,262140.0,156.5043587277187,0.0658250203639608,0.34952664432108504,16,0.0642939220883997
13,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.9243856871472227,0.0928737601262427,186.57269459000003,0.2520074844360398,1.3790733e7,6.784188e6,109.75023593437967,0.465455943670128,0.016380531518489803,19,0.2067481968913948
3,"banana(4,0.3)",HMC10.0,inverted,single_step,adapt,-0.007495829969807983,0.00014033875732514292,11.905659181,0,6.291432e6,1.048572e6,514.0946027594636,3.4327399267710096e-6,0.8738166108027126,18,1.3970200321490705e-5
26,"banana(4,0.3)",RWMH0.25,inverted,single_step,adapt,-0.16149104132795736,0.15389220306925755,1.305463324,0,1.048432e6,524280.0,135.23657934347037,0.901221195300499,0.019241772166950822,16,0.15415857211541553
6,horseshoe_logit,RWMH4.0,inverted,single_step,adapt,0.6428167845436963,0.06734600283135497,311.269639418,0,1.677704e7,8.3886e6,112.96087166131605,0.03015924739991924,0.06480930304718785,20,0.03695451956952384
6,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.7705971539900861,0.059929976820867675,798.519852373,0.0943708419799821,2.3527764e7,4.833367e6,150.65125279029783,0.6882811778793617,0.02416748737293708,19,0.17879518335572278
6,"banana(4,0.3)",RWMH0.1,inverted,single_step,adapt,0.9832106103148177,0.007868339497082513,1.34810592,0,1.048432e6,524280.0,135.74321652500583,0.9340228815360949,0.007696708866780329,16,0.11122001640244271
18,horseshoe_logit,SimpleAHMC,inverted,rand,adapt,0.8482300763939953,0.14253584053482254,2073.417481546,0.09105062484741439,5.9629911e7,1.5284988e7,116.9020444583751,0.7151013330219581,0.019948872917253245,20,0.15658803352280481
2,"banana(4,0.3)",SimpleAHMC,inverted,rand,adapt,-0.1748591302026159,0.43040364366489847,6.063375903,0.09485626220703115,2.873248e6,587242.0,148.358668236908,0.6742994420030918,0.08126924583012973,16,0.19152914640186153
1,horseshoe_logit,RWMH,inverted,single_step,adapt,0.8024192111973725,0.0346697942360463,156.053442327,0,8.38844e6,4.194296e6,252.9399792747779,0.39136235409948694,0.016202325761796962,19,0.24285891261839082
17,"banana(4,0.3)",MALA4.0,inverted,single_step,adapt,-0.052509412051066295,0.2838149290837558,4.057157634999999,0,1.57284e6,262140.0,146.88575479458365,0.10884861877529094,0.4329966980294121,16,0.06328578735990037
19,"banana(4,0.3)",RWMH,inverted,single_step,adapt,1.5069410798167495,0.8240668996755736,1.357851379,0,1.048432e6,524280.0,132.05833839229476,0.4254821807465312,0.07696708866780329,16,0.2832711768773348
4,horseshoe_logit,HMC,inverted,single_step,adapt,0.9660386001840995,0.16234830628055016,2644.066599197,0,5.2255429e7,4.084035e6,144.16166288380555,0.5718532214747021,0.019094114895321035,20,0.0912613176655316
11,"banana(4,0.3)",MALA10.0,inverted,single_step,adapt,0.0008291333899898513,0.0001354264119047668,12.262008459,0,6.291432e6,1.048572e6,566.6340106932682,5.199204578722193e-7,1.0824917450735303,18,8.51423645271623e-6
18,horseshoe_logit,HMC0.25,inverted,single_step,adapt,0.9091622234570567,0.16181059673799428,4110.224500699,0,7.2118204e7,2.080408e6,111.46013209929963,0.8833237205473605,0.004773528723830259,19,0.04928357284782638
26,"banana(4,0.3)",MALA4.0,inverted,single_step,adapt,-0.08221116406695367,0.14531256057919115,4.316668731,0,1.57284e6,262140.0,157.88199410533807,0.057083469543177716,0.4329966980294121,16,0.04388774163897586
25,horseshoe_logit,MALA4.0,inverted,single_step,adapt,0.7542329866030685,0.0849479133549354,507.161186231,0,1.2582888e7,2.097148e6,103.9571605822374,0.3384084949418872,0.04670320406326737,19,0.14064970804285334
11,"banana(4,0.3)",MALA0.1,inverted,single_step,adapt,-0.19870739036748988,0.10191200261260631,4.254816910000001,0,1.57284e6,262140.0,133.38648776688808,0.9997632095333444,0.010824917450735303,16,0.00047322576455999254
28,"banana(4,0.3)",SimpleAHMC,inverted,single_step,adapt,-0.03790602255500062,0.40879550757821453,5.50301651,0.08781433105468672,3.013504e6,622306.0,152.85149548062893,0.6868971328642625,0.06732305059835508,16,0.19497875369855602
30,"banana(4,0.3)",MALA0.25,inverted,single_step,adapt,-1.8445568447507987,0.11882527930693448,4.455283742,0,1.57284e6,262140.0,133.1309357843258,0.8239728082419893,0.027062293626838256,16,0.12874622371503192
7,horseshoe_logit,SimpleAHMC,inverted,rand,adapt,0.8045184279453064,0.09438715478649015,1688.6601182680001,0.09433984756469586,4.9632952e7,1.0767173e7,156.82257677469192,0.6924837872018269,0.021722852444521205,20,0.17446094778143037
28,"banana(4,0.3)",SimpleRWMH,inverted,single_step,adapt,2.8705645951153667,0.021012871606401372,1.5923911039999998,0.3560867309570336,1.83058e6,901420.0,135.62398073003823,0.3892130594455278,0.034802822249357046,16,0.1821532070730889
22,"banana(4,0.3)",HMC0.25,inverted,single_step,adapt,-0.7058493136725968,0.3028471968012176,4.171912750000001,0,1.57284e6,262140.0,132.43212482601987,0.9812607193434677,0.021845415270067815,16,0.03206158238841378
10,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.767434993239434,0.09681337926727038,372.01362621199996,0.2782759666442966,2.7247202e7,1.3472045e7,131.5907219673094,0.4248866099353467,0.016293485536849926,20,0.19729780852122575
9,mRNA,SimpleAHMC,inverted,rand,adapt,-0.5000000000082737,6.153875993307448e-25,1076.777164422,1.1242103576660143,4.15872e7,1.0134658e7,101.80864925712112,0.38936541133841684,0.0017531682805283066,17,2.969280377129707e-11
26,horseshoe_logit,RWMH4.0,inverted,single_step,adapt,0.7835601606462151,0.0724314434842897,154.754129413,0,8.38844e6,4.194296e6,126.81620186778188,0.07831736727028435,0.06480930304718785,19,0.08954131424481973
13,"banana(4,0.3)",HMC,inverted,single_step,adapt,0.6990466666893543,0.5472363455108002,4.125434815,0,1.57284e6,262140.0,139.43612686704705,0.43039602633335905,0.08738166108027126,16,0.21254349050545196
30,"banana(4,0.3)",HMC,inverted,single_step,adapt,-0.6909328628591617,0.8621544395368395,4.566579481,0,1.57284e6,262140.0,132.20888217434265,0.36241932938385163,0.08738166108027126,16,0.12767308938030397
24,"banana(4,0.3)",MALA4.0,inverted,single_step,adapt,-0.6485087827475206,0.5111989083680097,4.2000434460000005,0,1.57284e6,262140.0,134.25673026407472,0.49682107372371603,0.4329966980294121,16,0.09122092239712527
20,mRNA,SimpleRWMH,inverted,single_step,adapt,0.33784050762818035,0.07613358355160828,242.12433659700002,0.7494068145751885,7.4442375e7,3.7411289e7,107.72289963378485,0.4067047359248189,0.006606515890122455,18,0.17777295541445068
22,"banana(4,0.3)",HMC10.0,inverted,single_step,adapt,-0.2762160066085481,0.021879922586984842,22.914740358,0,1.2582888e7,2.097148e6,725.4786355052712,2.2809459793782465e-6,0.8738166108027126,19,4.66235156496682e-6
3,"banana(4,0.3)",RWMH0.1,inverted,single_step,adapt,0.0010580998521818586,0.035072252530625694,1.326546283,0,1.048432e6,524280.0,135.96854015913289,0.9735489392217606,0.007696708866780329,16,0.048347864664038905
