dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
8,8,normal,1,AH_exp,215106.79651215696,215866.484449267,5.293622e6,14.419073409735761,-0.0031326236627952433,0.9923628670207699,2.1826077416175735,0.0001456351659505487,false
4,6,normal,1,AM,146658.66295642842,145731.71011912555,3.920328e6,5.790428757354344,-0.0020468553033180297,1.0051697740831456,1.578656586681575,0.013688949500552576,false
32,9,normal,1,NUTS,679262.6371443177,679235.2916667641,3659214,92.14243164242498,0.0006503185523136139,0.9994750603205804,0.5127379929489848,0.9552080845161064,false
1024,15,normal,1,AH_exp,103524.58853261187,102274.0803154597,1.3182124e7,1184.7827409840168,0.006184678270825329,1.0045202377101667,2.433259699683987,1.4398905637696331e-5,false
256,7,normal,1,NUTS,695819.0922744587,693260.0696755787,7006560,739.9471452521349,0.0008968108403293227,1.0026124127652556,0.8687019530194107,0.43736123891289813,false
8,4,normal,1,AM,138183.0583330957,138281.2995857055,5.863075e6,11.769351273025206,-0.0002100527709038055,0.9992772564703248,0.6367449311358087,0.8122253829954674,false
16,2,normal,1,AH_exp,176214.2789143539,177511.37675511546,6.157114e6,25.28378468161235,-0.0013199600656625707,0.9920957014372754,1.161151579001924,0.13483472016571693,false
2,8,normal,1,AH_exp,353481.6364057177,353779.5941007862,4.304784e6,4.301990175560082,-0.00021664423896351856,0.9991275169713727,0.5930856953173134,0.8733034967516631,false
2,15,normal,1,NUTS,277842.73222676764,277558.01214606996,1569023,4.034828441246646,0.0009744712822933192,1.0005086467865254,0.9289478741826258,0.35402163699275446,false
1024,12,normal,1,NUTS,392566.3072401078,389001.06279844575,7870092,2416.1926748683495,0.002115494468654822,1.0057474637640649,1.0966411870923594,0.18035434054418228,false
8,12,normal,1,NUTS,443117.21089715906,439854.838350198,2704420,20.488837425254154,-0.00190181251608963,1.0043088541031244,1.059497973814473,0.21158811623634577,false
32,5,normal,1,AH_unif,171631.067087905,169945.99988734644,6.951724e6,52.49027718889613,0.002893889041550106,1.0071122396380703,1.5331261654722539,0.01817323724421412,false
128,3,normal,1,NUTS,359458.25871499145,358318.3889974818,3737800,283.575243990139,-0.002061243435830803,1.0002117718771755,1.2204857326673277,0.10165657658033359,false
128,19,normal,1,NUTS,649964.2676994563,648479.5154252681,5831501,373.1096712194009,-0.0011101758593338017,1.00074175247325,1.0575337659442425,0.21334873096595944,false
8,14,normal,1,AH_fix,150016.21853627957,148353.27083553316,4.700678e6,10.794897773166442,0.0032518970758808386,1.008121518534474,2.058962566472246,0.000415716708145463,false
16,15,normal,1,AH_unif,108024.71967152943,106852.22829703426,5.70506e6,21.197817423136115,0.0017467701313790308,1.0103303139374933,1.623809858009821,0.010251104080429785,false
4,5,normal,1,AH_exp,237859.03376097727,237202.28602846822,4.765798e6,7.762829815714371,-0.0001026565587028454,1.00276403778904,0.6061389254950882,0.8560511471191989,false
