dim,seed,model,sampler_type,selector,int_time,logstep_jitter,time,n_steps,miness,prop_log_diff,step_size,margin_ess_exact,margin_mean,margin_var
64,10,normal,SimpleAHMC,standard,rand,none,0.40368432899999995,17968.0,109.60644759910575,NaN,0.7489534826376679,289.4927309653664,-0.08070809437049006,1.0343018652164646
256,28,normal,SimpleAHMC,standard,rand,none,0.411660887,18637.0,108.6371481255237,NaN,0.5019320083695424,247.76619535672523,0.07405242285884679,1.0239056273697904
1024,19,funnel,SimpleAHMC,inverted,rand,none,3858.98699265,6.5229524e7,134.12728415248293,NaN,0.03250198733706255,156.63391696899504,-2.9081859332572484,6.391059795522843
4,19,normal,SimpleAHMC,inverted,single_step,none,0.31329798,3471.0,135.04385947187802,NaN,1.0053922855865622,135.04385947187802,-0.14021354422186738,1.1382555655910165
4,19,funnel,SimpleAHMC,inverted,single_step,normal,5.00398589,688337.0,274.2833010558776,3.7679716633956954,0.4334490602790357,659.2173928027531,0.3045524535798137,6.013384212312432
32,14,banana,SimpleRWMH,inverted,single_step,none,1.404723405,545213.0,136.75696530983578,NaN,0.07891285250147548,6604.651038144338,0.3866969449005091,0.2515480200908953
512,12,funnel,SimpleAHMC,inverted,rand,none,3547.612123115,1.23607619e8,134.52623707349255,NaN,0.04349303159245825,192.68235458852803,-0.0004113836407528271,12.222898750655913
16384,9,normal,SimpleAHMC,standard,single_step,none,25.736898568999997,120851.0,104.17331063498264,NaN,0.2584293872801342,245.27693268737326,0.052318509313422974,1.074886216612863
16,24,normal,SimpleAHMC,inverted,single_step,none,0.35853497100000004,13922.0,224.04631846528076,NaN,0.7644094239171789,405.52494943241504,0.04222111431914991,1.0437038248847375
4,6,banana,SimpleAHMC,inverted,single_step,normal,5.144468937,617995.0,134.62530099728133,2.122082487353674,0.04066967051123349,235.3538862318606,-3.289945873198932,0.0980673989684455
32,11,funnel,SimpleAHMC,standard,rand,none,169.373896073,5.7072739e7,106.47320017667037,NaN,0.14293784360332948,248.94164333065535,-0.10370023123590419,8.491143702869657
4,27,funnel,SimpleAHMC,standard,single_step,none,2.8935423300000003,349546.0,161.9037242499799,NaN,0.5063287336413705,470.97773507692466,-0.05779252675766641,5.511901271621189
512,22,banana,SimpleAHMC,inverted,single_step,none,11.68685265,298117.0,112.04366074534677,NaN,0.1655703097504797,57776.24490843838,0.01025764953828346,0.044910344317473636
512,2,banana,NUTS,standard,single_step,none,102.156644393,5900718,182.38105630893293,0.0,0.068189,12139.361458761345,0.053967783218111694,0.26388926693760556
64,8,normal,SimpleRWMH,inverted,single_step,none,0.7996066620000001,501673.0,185.7241362847905,NaN,0.12432917299282326,375.82191884032466,0.022685242522014412,0.9619014573919543
32,4,banana,SimpleAHMC,inverted,single_step,none,6.97101593,631272.0,135.84183050348864,NaN,0.0797516888406832,1731.979269004833,-1.150297443876028,0.16573000318346479
256,1,funnel,SimpleAHMC,inverted,single_step,normal,17.447132256,515650.0,132.34443227030152,1.1587140339994497,0.12070597714656404,1774.3020782583003,0.9894355287259766,0.33444483247755963
8,10,banana,SimpleRWMH,inverted,single_step,normal,0.9391578120000001,563904.0,133.9075759148424,2.5945593305780994,0.09227712099308817,1871.2465906123455,0.23600848115912976,1.3518471717347895
2,25,banana,NUTS,standard,single_step,none,1.059254418,571369,279.44586525137834,0.0,0.0555255,1951.8049041805266,0.006030068892285718,3.0700817295441967
2048,26,normal,SimpleAHMC,standard,rand,none,1.216495924,44581.0,127.50132957323862,NaN,0.3250658809727504,334.7490701366756,-0.05108781688126387,0.9527427262069957
256,9,normal,SimpleAHMC,inverted,rand,none,0.383817815,17180.0,127.47676816925319,NaN,0.4531066843023446,256.190258933376,0.08662116988904822,0.9547511745305324
2,4,funnel,SimpleAHMC,inverted,single_step,normal,6.197048239999999,746666.0,183.31707405888636,7.603764615170061,0.6130797563642031,369.55039834708845,-0.10595556694694959,10.254056034005991
16384,6,normal,SimpleRWMH,standard,single_step,none,66.934759901,618978.0,131.27369369906276,NaN,0.0213746442227874,226.32598744189386,-0.9801934996667091,0.17851050856475256
32,9,normal,SimpleAHMC,inverted,single_step,normal,0.37226723799999994,14349.0,101.98777709674533,0.45081778085808955,0.6485866002737141,240.58157750647732,0.014649648834629422,0.9795435761894704
128,9,normal,NUTS,standard,single_step,none,0.289825701,24138,1096.034595449965,0.0,0.412736,2287.825511903651,0.001713089630000004,0.9130125657464181
2048,23,normal,SimpleRWMH,inverted,single_step,none,6.697548729999999,509315.0,131.7474036431201,NaN,0.026174822615707086,172.51221706103334,-0.49836533005401334,1.2513283881381982
8,4,funnel,SimpleAHMC,inverted,single_step,none,5.371568743,608885.0,213.64801180563862,NaN,0.34350753703534126,638.0278276989158,-0.0664814413908635,5.107523238466597
256,3,funnel,SimpleRWMH,standard,single_step,normal,2.3346098690000003,635928.0,131.79670675781284,4.732003433078058,0.09201401473953345,654.6043784318139,-1.8090400183194622,0.26638172603742855
4096,7,normal,SimpleRWMH,standard,single_step,none,16.86428127,584846.0,131.4756697537026,NaN,0.032292475297621734,288.83722549204884,0.2028191450813542,0.8552623465114428
512,15,banana,SimpleRWMH,standard,single_step,normal,4.272576783,644499.0,135.5928254050553,4.843394711642249,0.04892668474102477,26725.25262561578,0.2614878109068875,0.028520528105834258
256,4,funnel,SimpleAHMC,inverted,rand,none,1230.7123581390001,1.24429155e8,144.28152767795538,NaN,0.06465688495739548,359.863403004092,0.30892904140807076,6.750615440013161
256,3,normal,SimpleAHMC,inverted,single_step,none,0.559570576,55501.0,254.31660112598908,NaN,0.468971462909648,498.6505428514039,0.037895680835238324,0.9332924712454986
512,26,normal,SimpleRWMH,inverted,single_step,normal,2.023483582,508502.0,134.84261982708685,1.4173205190670786,0.042855345484780996,240.3657499016276,0.07142105422856662,1.1045167323654286
2,26,funnel,SimpleRWMH,inverted,single_step,none,0.580554492,179593.0,128.63953017913786,NaN,0.9463288876690232,297.78384697885093,0.38309840621264996,7.599522990686153
16,7,funnel,SimpleAHMC,standard,single_step,none,6.520387366,673320.0,157.76978281196446,NaN,0.3159172232133918,403.819238022762,0.7008627372206111,5.99023273130746
128,30,funnel,SimpleAHMC,standard,single_step,none,8.142705323,552750.0,132.8253360521856,NaN,0.1872027648378654,415.59683335035254,0.547854557478051,5.328621952917067
4,13,funnel,SimpleRWMH,inverted,single_step,none,1.236071557,726049.0,177.716473705018,NaN,0.4536323377373173,363.9876961987552,0.7989709711330691,7.262671785293369
8,2,banana,SimpleRWMH,inverted,single_step,normal,1.200664558,566991.0,136.4289729919488,2.6007359849337175,0.102456714318741,1962.8892395234034,0.5142812708120398,1.0773692063692593
1024,23,funnel,SimpleRWMH,standard,single_step,none,10.101532997,598202.0,131.64272751331436,NaN,0.04299782432259889,1510.008117969925,-1.2354070808820303,0.006895734820778897
512,6,banana,SimpleAHMC,inverted,single_step,none,35.3011798,616579.0,139.42194716575645,NaN,0.07769615789045013,23370.793939771735,0.16546502904658617,0.08768317144159073
128,22,funnel,SimpleAHMC,inverted,single_step,none,11.495560929,506860.0,133.7685913324746,NaN,0.1514171944683801,637.8357089063368,-0.5737453344492663,3.348349628826361
512,21,funnel,NUTS,standard,single_step,none,342.74695591499994,17573781,137.74039887031793,0.0,0.0203862,358.3564281295605,-0.40035301080858726,6.512683112224785
32,29,funnel,SimpleAHMC,inverted,single_step,normal,7.364516237999999,572736.0,140.6515518871907,1.8232719439128937,0.19417059298228787,494.616095361182,0.2492974581667043,4.90024321617784
32,3,funnel,SimpleAHMC,inverted,single_step,none,6.995188338,537157.0,143.86051367516433,NaN,0.2216222443530724,480.6204434351579,-0.1809711441812394,5.121161963116622
16,13,normal,SimpleAHMC,inverted,rand,none,0.35857639399999996,7545.0,154.74827649627326,NaN,0.7828754944172917,209.97914235990189,0.07037425288162669,0.9772583107570132
512,4,normal,SimpleAHMC,inverted,rand,none,0.574674492,36200.0,263.4016317581246,NaN,0.3891389464094158,477.5009914593534,0.0766166840147677,0.9653986750352702
8192,14,normal,SimpleAHMC,standard,rand,none,8.760760132,103525.0,222.64046932550346,NaN,0.2428832153240435,568.1100264645443,-0.012574826889224754,0.9893161892736669
512,4,normal,SimpleRWMH,inverted,single_step,normal,2.277166277,508775.0,134.06715097743108,1.4088097544210947,0.04236011942044243,222.95603689494644,-0.18874448999033738,1.160201168789908
16384,28,normal,SimpleAHMC,standard,single_step,none,25.912710068,121083.0,100.08074740660356,NaN,0.2581252294627134,269.0889033613369,0.019717727765492733,1.0207455320478382
4,10,banana,SimpleAHMC,inverted,rand,none,14.983209301999999,2.847517e6,142.28646763108327,NaN,0.051540686836978794,348.0506719835755,-0.3191145855037763,8.091468823726936
32,13,banana,SimpleAHMC,standard,single_step,none,6.939961275,702156.0,134.83208911048717,NaN,0.18652488181287424,2520.8722773959166,0.20716832341362135,0.993604928145363
