seed,model,sampler_type,selector,int_time,logstep_jitter,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,acceptance_prob,step_size,n_rounds,energy_jump_dist
2,mRNA,SimpleAHMC,inverted,single_step,adapt,0.15816830060350012,0.0011203563741856767,195.936507121,0.09865570068359278,4.86258e6,1.084575e6,139.89727024687767,0.6979892205032795,0.0469054209621615,16,0.1727171323112575
23,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.1576227950980596,0.0012767496563659468,22.456261431,0,3.313978e6,1.644067e6,179.7163832790919,1.0,10.0,16,0.5049721487483375
16,mRNA,SimpleAHMC,inverted,single_step,adapt,0.1504413248250367,0.0012915015833050584,185.751242485,0.10482788085937432,4.63684e6,1.02814e6,133.9269902046643,0.6680427610440803,0.015417114584083047,16,0.1882725741552502
6,mRNA,SimpleRWMH,inverted,single_step,adapt,-0.9743004317828404,3.813931848991024e-8,311.828671227,1.9073486328125195e-6,3.4547446e7,1.7829884e7,896.7700432321514,0.7286788969575918,2.1974013237204082e-8,20,0.6383621663684274
12,mRNA,SimpleRWMH,inverted,single_step,adapt,0.19254155519892444,0.000571415794730944,71.107849878,0.46926498413085904,8.552576e6,4.347673e6,109.20393878211709,0.3598250679567977,0.002186469234011769,18,0.1672795806631896
5,mRNA,SimpleAHMC,inverted,single_step,adapt,0.15887225584523681,0.0006676208941143384,170.557419112,0.11943817138671978,4.449612e6,981333.0,134.3183107667334,0.6583824647504752,0.0017113076518089194,16,0.18883845133651608
20,mRNA,SimpleAHMC,inverted,rand,adapt,0.17491717430282627,0.0010603335487041647,210.869498462,0.09880828857421967,5.239957e6,1.282787e6,131.94147905394223,0.7074269893175177,0.030532862964349358,16,0.16124013135780618
5,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.16491653506206458,0.0010375759194108257,23.470150371000003,0,3.343325e6,1.64192e6,177.75634604924275,1.0,10.0,16,0.4950719437507485
16,mRNA,SimpleRWMH,inverted,single_step,adapt,-0.8996629673282631,0.004813003193779418,12.149305242,3.814697265624993e-5,2.833771e6,1.269451e6,131.28548619758087,0.7411221458216001,8.774109831469295e-5,16,0.5880218834138744
20,mRNA,SimpleAHMC,inverted,single_step,adapt,0.1598989654863484,0.0009866811853467908,197.452561807,0.11874389648437415,4.902728e6,1.094612e6,142.74746488192523,0.690217582238062,0.03111856100418935,16,0.13898709458797084
1,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.15969033518071946,0.001262208203519068,23.764524401000003,0,3.194334e6,1.57076e6,192.421760322284,1.0,10.0,16,0.5022491304300274
28,mRNA,SimpleRWMH,inverted,single_step,adapt,-0.8161506859109522,6.907547824211507e-15,43.072428900999995,0.00016021728515625043,7.838522e6,3.610624e6,131.28580042463852,0.7309419972268478,0.0018529917447381809,16,0.6350015525240474
20,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.17077159955817864,0.0007757226053778069,23.065336713999997,0,3.162559e6,1.608383e6,200.66039128204397,1.0,10.0,16,0.49910113503938086
4,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.15595107826303076,0.0013276909121688247,23.185211188,0,3.317183e6,1.637872e6,177.7416305681311,1.0,10.0,16,0.5051510513794255
30,mRNA,SimpleAHMC,inverted,rand,adapt,0.1668145945342477,0.0009521220043982041,223.15994181000002,0.11681365966796689,5.184478e6,1.523182e6,139.4418441167599,0.680254437694046,0.022355692270281367,16,0.15196547186089224
2,mRNA,SimpleRWMH,inverted,single_step,adapt,0.1660438133998398,0.0010496089292763387,22.94743802,0.40821838378906244,2.647065e6,1.268365e6,140.3037490662953,0.3867779353773963,0.0222458723874987,16,0.17266272812008515
9,mRNA,SimpleRWMH,inverted,single_step,adapt,-0.7089606320074959,0.0001259710695002585,1441.39471507,0.0,2.8080146e8,1.39340053e8,2897.4500629177664,0.732784053397618,1.4332741548612268e-7,23,0.6256304498237447
