scale_idx,seed,model,sampler_type,selector,int_time,logstep_jitter,scale,miness,time,n_steps,margin_ess_exact,margin_mean,margin_var
9,14,funnel_scale,SimpleAHMC,inverted,rand,normal,1.8,135.2610609368563,4.04654854,515679.0,299.12426530303026,-0.5980324432505029,9.167232568160582
8,16,funnel_scale,SimpleAHMC,inverted,rand,normal,1.6,105.68868298964745,4.261717914999999,559402.0,175.38583323880337,-1.3835395493887706,10.57233761591589
10,28,funnel_scale,SimpleAHMC,standard,rand,normal,2.0,182.70708383580742,2.7575537019999996,220558.0,321.67238921981357,-0.8398603579680545,7.3120381745381335
19,14,funnel_scale,SimpleAHMC,standard,single_step,none,3.8000000000000003,161.4019662559985,1.867390727,37563.0,181.01493762144594,0.08840521041106758,9.164059109665736
11,2,funnel_scale,SimpleAHMC,inverted,single_step,normal,2.2,516.926388587961,6.293129232,781778.0,640.7074293494592,-0.6936185454450685,8.9495563302556
8,15,funnel_scale,SimpleAHMC,inverted,rand,none,1.6,111.22450814628286,2.902222246,256337.0,322.44579783868113,0.02558194644584516,7.257313272518129
19,26,funnel_scale,SimpleAHMC,inverted,rand,normal,3.8000000000000003,142.4366735575028,1.9909962649999997,34848.0,166.76759079061242,-0.46666797597473614,8.422494752636663
13,2,funnel_scale,SimpleAHMC,standard,single_step,normal,2.6,168.91396308310638,2.219854266,80448.0,263.69564065620705,-0.33611961442600247,7.423613450555208
8,11,funnel_scale,SimpleAHMC,inverted,single_step,normal,1.6,143.08648918871344,5.8690967689999995,802141.0,339.709622200378,-0.5850680003129008,9.522263697082446
6,22,funnel_scale,SimpleAHMC,inverted,single_step,none,1.2000000000000002,117.34700396258252,3.9945097250000003,464616.0,361.3322798529059,0.12025493330959154,6.80662792037921
2,22,funnel_scale,SimpleAHMC,standard,rand,none,0.4,141.11886551686493,14.166571046,5.49917e6,633.8158073709903,-0.9034018034328208,3.324074281862917
11,27,funnel_scale,SimpleAHMC,inverted,rand,none,2.2,131.85408654941833,2.003145824,40587.0,221.1643590085943,0.4665679720585415,5.55969088141535
10,20,funnel_scale,SliceSampler,standard,single_step,none,2.0,229.36927895922742,0.12378024399999998,37832.0,280.38583409054405,0.3349363283035979,9.410329473549242
8,3,funnel_scale,SimpleRWMH,standard,single_step,none,1.6,111.509794408177,0.8200742010000001,474618.0,225.08413454203063,0.31600304454270783,10.210805289096783
11,18,funnel_scale,SimpleAHMC,standard,single_step,normal,2.2,128.21492906906883,2.027223549,42535.0,218.10593977496626,-0.6187990504557968,6.034188146241973
